group,queue,waiting,vehicle_count
596,0.0,0.0,180.5
597,0.0,0.0,178.6
598,0.0,0.0,177.1
599,0.0,0.0,177.6
600,0.0,0.0,182.3
601,0.0,0.0,186.3
602,1.5,6.6,188.8
603,0.3,1.0,188.0
604,0.0,0.0,179.9
605,0.0,0.0,173.2
606,0.0,0.0,172.0
607,0.0,0.0,176.4
608,0.0,0.0,182.5
609,0.0,0.0,185.4
610,0.0,0.0,186.9
611,0.0,0.0,189.4
612,0.0,0.0,189.5
613,0.0,0.0,182.3
614,0.0,0.0,174.6
615,0.0,0.0,174.7
616,0.0,0.0,180.9
617,0.0,0.0,186.0
618,0.0,0.0,189.2
619,1.6,7.3,190.7
620,3.0,32.5,190.6
621,0.3,4.1,188.3
622,0.0,0.0,181.4
623,0.0,0.0,178.0
624,0.0,0.0,175.2
625,0.0,0.0,179.8
626,0.0,0.0,188.1
627,0.0,0.0,190.4
628,0.0,0.0,189.2
629,0.0,0.0,190.5
630,0.0,0.0,188.6
631,0.4,0.6,184.3
632,0.0,0.0,179.9
633,0.0,0.0,177.8
634,0.0,0.0,180.5
635,1.0,5.5,186.1
636,1.0,15.5,192.1
637,1.0,25.5,194.8
638,2.2,39.4,194.5
639,0.3,0.8,191.0
640,0.0,0.0,184.8
641,0.0,0.0,181.1
642,0.0,0.0,175.5
643,0.3,0.6,175.5
644,3.6,21.3,179.5
645,4.0,61.0,184.9
646,4.1,101.1,188.7
647,5.9,150.0,189.1
648,1.2,27.2,189.3
649,0.3,0.4,187.6
650,0.0,0.0,185.7
651,0.0,0.0,181.9
652,0.0,0.0,182.4
653,1.8,9.1,181.3
654,2.0,29.0,183.6
655,2.6,51.1,184.5
656,4.2,84.7,187.8
657,1.1,7.7,191.3
658,0.9,2.6,189.7
659,0.0,0.0,187.5
660,0.0,0.0,181.7
661,0.0,0.0,181.0
662,0.0,0.0,182.6
663,0.0,0.0,184.2
664,0.4,1.0,190.3
665,3.6,19.8,195.1
666,1.0,7.8,191.9
667,0.0,0.0,184.0
668,0.0,0.0,177.9
669,0.0,0.0,173.3
670,0.0,0.0,175.3
671,0.0,0.0,179.5
672,0.0,0.0,184.9
673,0.0,0.0,185.8
674,0.0,0.0,185.5
675,0.0,0.0,182.4
676,0.0,0.0,180.1
677,0.0,0.0,180.2
678,0.0,0.0,182.7
679,0.0,0.0,186.0
680,0.0,0.0,188.7
681,0.0,0.0,191.8
682,1.2,4.3,191.4
683,2.0,23.0,188.4
684,0.1,1.6,186.6
685,0.0,0.0,184.3
686,0.0,0.0,182.5
687,0.0,0.0,179.8
688,0.2,0.3,180.8
689,2.0,13.0,180.4
690,2.0,33.0,180.6
691,2.0,53.0,180.4
692,2.0,73.0,181.4
693,0.1,4.1,178.4
694,0.0,0.0,172.4
695,0.0,0.0,165.0
696,0.0,0.0,158.4
697,0.0,0.0,155.4
698,0.0,0.0,153.4
699,0.0,0.0,155.8
700,1.2,4.3,157.8
701,2.3,23.6,156.1
702,0.4,2.6,155.3
703,0.0,0.0,151.7
704,0.0,0.0,145.8
705,0.0,0.0,147.3
706,0.0,0.0,148.2
707,0.0,0.0,148.1
708,0.0,0.0,149.7
709,0.0,0.0,152.3
710,0.0,0.0,154.7
711,0.0,0.0,156.5
712,0.0,0.0,151.8
713,0.0,0.0,149.9
714,0.0,0.0,150.9
715,0.0,0.0,149.0
716,0.0,0.0,148.3
717,0.0,0.0,146.1
718,0.0,0.0,145.7
719,0.5,1.5,146.2
720,0.0,0.0,145.5
721,0.0,0.0,144.9
722,0.0,0.0,141.7
723,0.0,0.0,140.3
724,0.0,0.0,140.9
725,0.0,0.0,143.6
726,0.0,0.0,147.3
727,0.5,1.5,145.9
728,2.1,14.7,145.2
729,0.1,0.9,144.2
730,0.0,0.0,138.6
731,0.0,0.0,135.6
732,0.0,0.0,136.9
733,0.0,0.0,139.4
734,0.0,0.0,140.1
735,0.0,0.0,143.0
736,0.0,0.0,142.1
737,0.0,0.0,134.8
738,0.0,0.0,129.1
739,0.0,0.0,122.9
740,0.0,0.0,118.0
741,0.0,0.0,121.7
742,0.0,0.0,127.5
743,0.0,0.0,130.5
744,0.0,0.0,131.0
745,0.0,0.0,130.5
746,0.0,0.0,126.9
747,0.0,0.0,124.2
748,0.0,0.0,119.4
749,0.0,0.0,118.4
750,0.0,0.0,121.2
751,0.0,0.0,125.0
752,0.0,0.0,124.2
753,0.0,0.0,125.6
754,0.0,0.0,124.1
755,0.8,3.6,123.6
756,0.0,0.0,121.9
757,0.0,0.0,116.4
758,0.0,0.0,114.2
759,0.0,0.0,117.8
760,0.0,0.0,121.1
761,0.0,0.0,120.9
762,0.0,0.0,123.0
763,0.0,0.0,123.1
764,1.6,7.3,124.1
765,0.3,1.1,123.5
766,0.0,0.0,116.2
767,0.0,0.0,110.3
768,0.0,0.0,113.4
769,0.0,0.0,117.0
770,0.0,0.0,119.9
771,0.0,0.0,123.4
772,0.0,0.0,123.0
773,2.0,7.5,116.4
774,0.3,1.4,113.8
775,0.0,0.0,110.1
776,0.0,0.0,111.3
777,0.0,0.0,113.7
778,0.0,0.0,115.3
779,0.0,0.0,119.7
780,0.0,0.0,121.0
781,0.0,0.0,121.7
782,0.0,0.0,119.3
783,0.0,0.0,118.2
784,0.0,0.0,114.9
785,0.0,0.0,111.3
786,0.0,0.0,111.3
787,0.0,0.0,113.1
788,0.0,0.0,113.1
789,0.0,0.0,116.0
790,0.0,0.0,115.3
791,0.9,1.9,114.9
792,0.1,0.3,114.1
793,0.0,0.0,109.1
794,0.0,0.0,103.4
795,0.0,0.0,100.9
796,0.0,0.0,99.2
797,0.0,0.0,96.4
798,0.0,0.0,97.9
799,0.0,0.0,97.4
800,0.0,0.0,101.0
801,0.0,0.0,102.2
802,0.0,0.0,96.5
803,0.0,0.0,96.8
804,0.0,0.0,97.2
805,0.0,0.0,98.6
806,0.0,0.0,96.3
807,0.0,0.0,98.3
808,0.0,0.0,98.0
809,0.0,0.0,100.6
810,0.0,0.0,101.9
811,0.0,0.0,94.3
812,0.0,0.0,92.1
813,0.0,0.0,93.9
814,0.0,0.0,95.4
815,0.0,0.0,96.3
816,0.0,0.0,96.9
817,0.0,0.0,99.2
818,0.5,1.1,99.8
819,0.1,0.2,102.4
820,0.0,0.0,98.7
821,0.0,0.0,95.2
822,0.0,0.0,95.1
823,0.0,0.0,97.3
824,0.0,0.0,96.6
825,0.0,0.0,99.6
826,1.3,5.5,103.3
827,2.0,24.0,104.8
828,0.1,1.5,107.2
829,0.0,0.0,101.6
830,0.0,0.0,95.4
