step,tls_id,queue,waiting,vehicle_count,phase
28,J1,1,12.0,28,0
28,J10,2,17.0,28,0
28,J11,2,5.0,28,0
28,J12,2,17.0,28,1
28,J13,1,12.0,28,0
28,J2,0,0.0,28,0
28,J4,0,0.0,28,1
28,J8,0,0.0,28,0
29,J0,1,0.0,29,0
29,J1,1,13.0,29,0
29,J10,2,19.0,29,0
29,J11,3,8.0,29,0
29,J12,2,13.0,29,2
29,J13,2,13.0,29,0
29,J2,0,0.0,29,0
29,J4,0,0.0,29,1
29,J8,0,0.0,29,0
30,J0,0,0.0,30,0
30,J1,2,15.0,30,0
30,J10,2,21.0,30,0
30,J11,4,11.0,30,0
30,J12,2,15.0,30,2
30,J13,1,14.0,30,0
30,J2,0,0.0,30,0
30,J4,0,0.0,30,2
30,J8,0,0.0,30,0
31,J0,0,0.0,31,0
31,J1,2,17.0,31,0
31,J10,2,23.0,31,0
31,J11,3,14.0,31,0
31,J12,2,17.0,31,2
31,J13,2,15.0,31,0
31,J2,1,1.0,31,0
31,J4,0,0.0,31,2
31,J8,0,0.0,31,0
32,J0,0,0.0,31,0
32,J1,2,19.0,31,0
32,J10,2,25.0,31,0
32,J11,4,18.0,31,0
32,J12,2,19.0,31,2
32,J13,1,16.0,31,0
32,J2,1,2.0,31,0
32,J4,0,0.0,31,2
32,J8,0,0.0,31,0
33,J0,0,0.0,33,0
33,J1,2,21.0,33,0
33,J10,2,27.0,33,0
33,J11,5,22.0,33,0
33,J12,2,21.0,33,2
33,J13,1,17.0,33,0
33,J2,1,3.0,33,0
33,J4,1,0.0,33,2
33,J8,0,0.0,33,0
34,J0,0,0.0,34,0
34,J1,2,23.0,34,0
34,J10,2,29.0,34,0
34,J11,5,27.0,34,0
34,J12,2,23.0,34,2
34,J13,1,18.0,34,0
34,J2,2,4.0,34,0
34,J4,0,0.0,34,2
34,J8,0,0.0,34,0
35,J0,0,0.0,35,0
35,J1,2,25.0,35,0
35,J10,3,32.0,35,0
35,J11,5,32.0,35,0
35,J12,2,25.0,35,2
35,J13,1,19.0,35,0
35,J2,1,5.0,35,0
35,J4,0,0.0,35,2
35,J8,0,0.0,35,0
36,J0,0,0.0,36,0
36,J1,2,27.0,36,0
36,J10,3,35.0,36,0
36,J11,6,37.0,36,0
36,J12,2,27.0,36,2
36,J13,1,20.0,36,0
36,J2,1,6.0,36,0
36,J4,0,0.0,36,2
36,J8,0,0.0,36,0
37,J0,0,0.0,37,0
37,J1,2,29.0,37,0
37,J10,3,38.0,37,0
37,J11,5,42.0,37,0
37,J12,2,29.0,37,2
37,J13,1,21.0,37,0
37,J2,2,8.0,37,0
37,J4,0,0.0,37,2
